Province/region,A,B,C,D,–,min,id
Anhui,21.0,20.0,19.0,18.0,,18.0,CHN.1_1
Beijing,26.4,,,,26.4,26.4,CHN.2_1
Chongqing,21.0,20.0,,,,20.0,CHN.3_1
Fujian,21.0,20.5,19.0,17.5,,17.5,CHN.4_1
Gansu,21.0,20.5,20.0,19.5,,19.5,CHN.5_1
Guangdong,22.2,18.1,17.0,16.1,,16.1,CHN.6_1
Guangxi,20.1,18.6,17.0,,,17.0,CHN.7_1
Guizhou,19.6,18.3,17.2,,,17.2,CHN.8_1
Hainan,17.9,16.3,,,,16.3,CHN.9_1
Hebei,22.0,20.0,18.0,,,18.0,CHN.10_1
Heilongjiang,18.0,14.0,13.0,,,13.0,CHN.11_1
Henan,20.6,19.6,17.6,,,17.6,CHN.12_1
Hubei,22.0,19.5,18.0,,,18.0,CHN.13_1
Hunan,19.0,17.0,15.0,,,15.0,CHN.14_1
Inner Mongolia,20.8,20.1,19.5,,,19.5,CHN.19_1
Jiangsu,24.0,22.0,20.0,,,20.0,CHN.15_1
Jiangxi,20.0,18.7,17.4,,,17.4,CHN.16_1
Jilin,19.0,18.0,17.0,16.0,,16.0,CHN.17_1
Liaoning,21.0,19.0,17.0,,,17.0,CHN.18_1
Ningxia,20.0,18.0,,,,18.0,CHN.20_1
Qinghai,18.0,,,,18.0,18.0,CHN.21_1
Shaanxi,21.0,20.0,19.0,,,19.0,CHN.22_1
Shandong,22.0,19.0,18.0,,,18.0,CHN.23_1
Shanghai,24.0,,,,24.0,24.0,CHN.24_1
Shanxi,21.3,20.2,19.1,,,19.1,CHN.25_1
Sichuan,22.0,21.0,20.0,,,20.0,CHN.26_1
Tianjin,24.4,,,,24.4,24.4,CHN.27_1
Tibet,18.0,,,,18.0,18.0,CHN.29_1
Xinjiang,19.0,17.0,16.2,15.4,,15.4,CHN.28_1
Yunnan,19.0,18.0,17.0,,,17.0,CHN.30_1
Zhejiang,24.0,22.0,20.0,,,20.0,CHN.31_1
