"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","MEAN","Mean","2000","2000","PC","Percentage","0","Units",,,49.96250316633,,
"AUS","Australia","MEAN","Mean","2001","2001","PC","Percentage","0","Units",,,49.5089820359281,,
"AUS","Australia","MEAN","Mean","2002","2002","PC","Percentage","0","Units",,,50.0437912173958,,
"AUS","Australia","MEAN","Mean","2003","2003","PC","Percentage","0","Units",,,49.8181260651902,,
"AUS","Australia","MEAN","Mean","2004","2004","PC","Percentage","0","Units",,,50.258064516129,,
"AUS","Australia","MEAN","Mean","2005","2005","PC","Percentage","0","Units",,,49.4790602655771,,
"AUS","Australia","MEAN","Mean","2006","2006","PC","Percentage","0","Units",,,46.3540669856459,,
"AUS","Australia","MEAN","Mean","2007","2007","PC","Percentage","0","Units",,,45.4733570159858,,
"AUS","Australia","MEAN","Mean","2008","2008","PC","Percentage","0","Units",,,45.0103448275862,,
"AUS","Australia","MEAN","Mean","2009","2009","PC","Percentage","0","Units",,,44.6086956521739,,
"AUS","Australia","MEAN","Mean","2010","2010","PC","Percentage","0","Units",,,45.1227236737925,,
"AUS","Australia","MEAN","Mean","2011","2011","PC","Percentage","0","Units",,,45.1570881226054,,
"AUS","Australia","MEAN","Mean","2012","2012","PC","Percentage","0","Units",,,44.0377632534495,,
"AUS","Australia","MEAN","Mean","2013","2013","PC","Percentage","0","Units",,,43.7860661505982,,
"AUS","Australia","MEAN","Mean","2014","2014","PC","Percentage","0","Units",,,43.6758893280632,,
"AUS","Australia","MEAN","Mean","2015","2015","PC","Percentage","0","Units",,,44.2923605960488,,
"AUS","Australia","MEAN","Mean","2016","2016","PC","Percentage","0","Units",,,44.6917353175658,,
"AUS","Australia","MEAN","Mean","2017","2017","PC","Percentage","0","Units",,,44.7802551875242,,
"AUS","Australia","MEAN","Mean","2018","2018","PC","Percentage","0","Units",,,44.779278998817,,
"AUS","Australia","MEAN","Mean","2019","2019","PC","Percentage","0","Units",,,44.5701221346489,,
"AUS","Australia","MEAN","Mean","2020","2020","PC","Percentage","0","Units",,,44.8130313298853,,
"AUS","Australia","MEAN","Mean","2021","2021","PC","Percentage","0","Units",,,43.5660313522048,,
"AUS","Australia","MEAN","Mean","2022","2022","PC","Percentage","0","Units",,,44.3258929545504,,
"BEL","Belgium","MEAN","Mean","2000","2000","PC","Percentage","0","Units",,,42.8853742051198,,
"BEL","Belgium","MEAN","Mean","2001","2001","PC","Percentage","0","Units",,,42.1881363848669,,
"BEL","Belgium","MEAN","Mean","2002","2002","PC","Percentage","0","Units",,,42.5962641924063,,
"BEL","Belgium","MEAN","Mean","2003","2003","PC","Percentage","0","Units",,,42.1303724071971,,
"BEL","Belgium","MEAN","Mean","2004","2004","PC","Percentage","0","Units",,,41.104495712182,,
"BEL","Belgium","MEAN","Mean","2005","2005","PC","Percentage","0","Units",,,41.1879840013616,,
"BEL","Belgium","MEAN","Mean","2006","2006","PC","Percentage","0","Units",,,40.4104355419714,,
"BEL","Belgium","MEAN","Mean","2007","2007","PC","Percentage","0","Units",,,40.5293367346939,,
"BEL","Belgium","MEAN","Mean","2008","2008","PC","Percentage","0","Units",,,40.9525775323804,,
"BEL","Belgium","MEAN","Mean","2009","2009","PC","Percentage","0","Units",,,41.4787872748561,,
"BEL","Belgium","MEAN","Mean","2010","2010","PC","Percentage","0","Units",,,40.5672099992691,,
"BEL","Belgium","MEAN","Mean","2011","2011","PC","Percentage","0","Units",,,40.6683263389999,,
"BEL","Belgium","MEAN","Mean","2012","2012","PC","Percentage","0","Units",,,40.6367817159846,,
"BEL","Belgium","MEAN","Mean","2013","2013","PC","Percentage","0","Units",,,41.2635145964511,,
"BEL","Belgium","MEAN","Mean","2014","2014","PC","Percentage","0","Units",,,39.8008833922261,,
